     _user_id  hits@10_count  hits@5_count  rated_count  recall@10  recall@5
39      98391             12            12         1138      0.011     0.011
21     189835              3             3          380      0.008     0.008
11     153662              8             8          369      0.022     0.022
324    235105              0             0          204      0.000     0.000
2       76499              1             1          203      0.005     0.005
134    171118              5             5          193      0.026     0.026
198     16795             11            11          192      0.057     0.057
48     248718              2             2          188      0.011     0.011
108    197659              1             1          156      0.006     0.006
76      35859              8             8          156      0.051     0.051
143    185233              2             2          140      0.014     0.014
215    114368             13            13          121      0.107     0.107
103     95359              6             6          121      0.050     0.050
186    158295              7             7          114      0.061     0.061
14     101851              3             3          113      0.027     0.027
58     177458              3             3          105      0.029     0.029
376    204864              8             8          101      0.079     0.079
241     69078              5             5          100      0.050     0.050
250     93047              0             0          100      0.000     0.000
615    135149              6             6           98      0.061     0.061
29     107784              4             4           97      0.041     0.041
172    100906              3             3           97      0.031     0.031
229     23872              1             1           96      0.010     0.010
22     257204              7             7           95      0.074     0.074
207     60244             10            10           95      0.105     0.105
35     189334              1             1           94      0.011     0.011
164    123883              6             6           91      0.066     0.066
68      88733              1             1           88      0.011     0.011
181    129074              2             2           87      0.023     0.023
77      87141              3             3           85      0.035     0.035
..        ...            ...           ...          ...        ...       ...
598    246247              0             0           10      0.000     0.000
541    159732              1             1           10      0.100     0.100
588    237271              2             2           10      0.200     0.200
584    150663              0             0           10      0.000     0.000
565    273979              1             1           10      0.100     0.100
355    253821              0             0           10      0.000     0.000
745      2891              2             2           10      0.200     0.200
915     25804              0             0           10      0.000     0.000
165    216466              0             0           10      0.000     0.000
913      6073              1             1           10      0.100     0.100
910     26516              0             0           10      0.000     0.000
907    259118              0             0           10      0.000     0.000
904      7915              1             1           10      0.100     0.100
896    148898              1             1           10      0.100     0.100
887    117873              1             1           10      0.100     0.100
884    126693              1             1           10      0.100     0.100
130      9417              0             0           10      0.000     0.000
136    132375              2             2           10      0.200     0.200
815    222035              0             0           10      0.000     0.000
746    142479              4             4           10      0.400     0.400
211    213523              0             0           10      0.000     0.000
813    177690              2             2           10      0.200     0.200
226    179772              0             0           10      0.000     0.000
228    250925              1             1           10      0.100     0.100
247    206563              1             1           10      0.100     0.100
264    239626              1             1           10      0.100     0.100
783     44845              0             0           10      0.000     0.000
780    278188              0             0           10      0.000     0.000
270     59269              2             2           10      0.200     0.200
966     86720              0             0           10      0.000     0.000

[967 rows x 6 columns]
