     _user_id  hits@10_count  hits@5_count  rated_count  recall@10  recall@5
39      98391             72            37         1138      0.063     0.033
21     189835             21            18          380      0.055     0.047
11     153662             64            46          369      0.173     0.125
324    235105             32            18          204      0.157     0.088
2       76499             16             8          203      0.079     0.039
134    171118             30            20          193      0.155     0.104
198     16795             62            49          192      0.323     0.255
48     248718             15             8          188      0.080     0.043
108    197659             17            15          156      0.109     0.096
76      35859             35            25          156      0.224     0.160
143    185233             17            13          140      0.121     0.093
215    114368             47            32          121      0.388     0.264
103     95359             48            39          121      0.397     0.322
186    158295             27            22          114      0.237     0.193
14     101851             12             9          113      0.106     0.080
58     177458             14            11          105      0.133     0.105
376    204864             38            28          101      0.376     0.277
241     69078             20            16          100      0.200     0.160
250     93047             11             7          100      0.110     0.070
615    135149             33            21           98      0.337     0.214
29     107784             20            12           97      0.206     0.124
172    100906             17            12           97      0.175     0.124
229     23872             10             8           96      0.104     0.083
22     257204             25            14           95      0.263     0.147
207     60244             34            31           95      0.358     0.326
35     189334              5             4           94      0.053     0.043
164    123883             33            22           91      0.363     0.242
68      88733             13            10           88      0.148     0.114
181    129074             11             7           87      0.126     0.080
77      87141             15            12           85      0.176     0.141
..        ...            ...           ...          ...        ...       ...
598    246247              2             2           10      0.200     0.200
541    159732              1             1           10      0.100     0.100
588    237271              9             8           10      0.900     0.800
584    150663              4             3           10      0.400     0.300
565    273979              6             5           10      0.600     0.500
355    253821              3             3           10      0.300     0.300
745      2891              5             4           10      0.500     0.400
915     25804              1             1           10      0.100     0.100
165    216466              7             5           10      0.700     0.500
913      6073              4             3           10      0.400     0.300
910     26516              0             0           10      0.000     0.000
907    259118              3             3           10      0.300     0.300
904      7915              4             4           10      0.400     0.400
896    148898              2             2           10      0.200     0.200
887    117873              4             3           10      0.400     0.300
884    126693              5             4           10      0.500     0.400
130      9417              5             4           10      0.500     0.400
136    132375              6             4           10      0.600     0.400
815    222035              3             3           10      0.300     0.300
746    142479              3             3           10      0.300     0.300
211    213523              0             0           10      0.000     0.000
813    177690              2             2           10      0.200     0.200
226    179772              3             1           10      0.300     0.100
228    250925              3             3           10      0.300     0.300
247    206563              5             5           10      0.500     0.500
264    239626              1             1           10      0.100     0.100
783     44845              3             1           10      0.300     0.100
780    278188              2             2           10      0.200     0.200
270     59269              6             6           10      0.600     0.600
966     86720              1             0           10      0.100     0.000

[967 rows x 6 columns]
