     _user_id  hits@10_count  hits@5_count  rated_count  recall@10  recall@5
39      98391            190           126         1138      0.167     0.111
21     189835             42            30          380      0.111     0.079
11     153662            105            85          369      0.285     0.230
324    235105             76            47          204      0.373     0.230
2       76499             29            22          203      0.143     0.108
134    171118             49            39          193      0.254     0.202
198     16795             74            65          192      0.385     0.339
48     248718             35            21          188      0.186     0.112
108    197659             25            22          156      0.160     0.141
76      35859             49            43          156      0.314     0.276
143    185233             32            22          140      0.229     0.157
215    114368             71            58          121      0.587     0.479
103     95359             62            51          121      0.512     0.421
186    158295             46            36          114      0.404     0.316
14     101851             22            16          113      0.195     0.142
58     177458             25            19          105      0.238     0.181
376    204864             50            44          101      0.495     0.436
241     69078             31            23          100      0.310     0.230
250     93047             26            17          100      0.260     0.170
615    135149             45            36           98      0.459     0.367
29     107784             32            24           97      0.330     0.247
172    100906             35            26           97      0.361     0.268
229     23872             18            13           96      0.188     0.135
22     257204             45            37           95      0.474     0.389
207     60244             49            41           95      0.516     0.432
35     189334             13             9           94      0.138     0.096
164    123883             50            43           91      0.549     0.473
68      88733             20            16           88      0.227     0.182
181    129074             19            15           87      0.218     0.172
77      87141             21            19           85      0.247     0.224
..        ...            ...           ...          ...        ...       ...
598    246247              4             4           10      0.400     0.400
541    159732              3             2           10      0.300     0.200
588    237271              9             9           10      0.900     0.900
584    150663              6             4           10      0.600     0.400
565    273979              9             8           10      0.900     0.800
355    253821              4             4           10      0.400     0.400
745      2891              7             5           10      0.700     0.500
915     25804              2             1           10      0.200     0.100
165    216466              8             8           10      0.800     0.800
913      6073              6             5           10      0.600     0.500
910     26516              0             0           10      0.000     0.000
907    259118              4             3           10      0.400     0.300
904      7915              6             5           10      0.600     0.500
896    148898              2             2           10      0.200     0.200
887    117873              4             4           10      0.400     0.400
884    126693              5             5           10      0.500     0.500
130      9417              5             5           10      0.500     0.500
136    132375              6             6           10      0.600     0.600
815    222035              5             4           10      0.500     0.400
746    142479              6             5           10      0.600     0.500
211    213523              1             1           10      0.100     0.100
813    177690              5             4           10      0.500     0.400
226    179772              4             2           10      0.400     0.200
228    250925              3             3           10      0.300     0.300
247    206563              5             5           10      0.500     0.500
264    239626              2             1           10      0.200     0.100
783     44845              3             2           10      0.300     0.200
780    278188              2             2           10      0.200     0.200
270     59269              8             7           10      0.800     0.700
966     86720              2             2           10      0.200     0.200

[967 rows x 6 columns]
